id,name,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,latitude,longitude
539,Could off foot above seem.,Jonathan,Brooklyn,Entire home/apt,159.0,2,59,0.21,162,40.7298,-73.9736
540,Approach particular arm worker.,Anthony,Queens,Entire home/apt,192.0,2,287,3.54,340,40.6268,-74.0125
541,Adult explain manage.,Mathew,Queens,Private room,147.0,7,83,2.67,62,40.8682,-73.9882
542,Goal feel thought from.,Heather,Bronx,Entire home/apt,132.0,5,163,0.78,279,40.8902,-74.0175
543,Charge myself.,Edward,Queens,Private room,123.0,3,386,4.9,293,40.7668,-73.8302
544,Increase common shake door.,Janet,Bronx,Private room,78.0,14,57,3.66,20,40.5558,-73.9296
545,List star Mr find.,Keith,Queens,Entire home/apt,143.0,5,316,4.2,228,40.643,-74.0195
546,Company money big generation.,Billy,Staten Island,Shared room,75.0,2,298,2.63,142,40.5783,-74.1166
547,Film perhaps.,David,Bronx,Shared room,66.0,14,44,4.88,201,40.5778,-74.0229
548,If important change civil.,Joseph,Staten Island,Shared room,10.0,1,341,1.81,75,40.7864,-73.9789
549,Teach paper.,Claudia,Bronx,Private room,139.0,1,145,1.72,157,40.891,-73.8003
550,North add speech range.,John,Manhattan,Entire home/apt,205.0,14,227,3.71,212,40.8215,-74.0345
551,Sure grow fight.,Terri,Bronx,Shared room,15.0,5,71,4.18,306,40.5344,-74.0669
552,From attention nothing wrong lawyer.,Luke,Bronx,Shared room,56.0,3,33,4.67,302,40.8024,-74.1146
553,Final blood customer.,David,Bronx,Shared room,60.0,3,212,0.87,236,40.7841,-73.8479
554,Individual account conference southern.,Amy,Brooklyn,Entire home/apt,160.0,2,195,1.45,251,40.5169,-73.8195
555,Director these threat.,Joseph,Staten Island,Private room,58.0,5,286,3.7,114,40.5107,-74.149
556,Bank month least.,Richard,Queens,Private room,53.0,14,325,2.36,334,40.7664,-74.0349
557,Air consumer choose say.,Angela,Brooklyn,Private room,79.0,14,330,1.22,61,40.8059,-73.9528
558,Modern place already natural.,Darrell,Manhattan,Shared room,87.0,14,185,2.91,289,40.6744,-74.0468
559,Friend father.,Victor,Bronx,Shared room,62.0,30,61,1.87,294,40.507,-74.0462
560,Sit to unit recently.,Heidi,Staten Island,Entire home/apt,135.0,2,163,2.31,354,40.5542,-74.0847
561,Reason drive space.,Kayla,Queens,Private room,111.0,5,325,4.56,182,40.5195,-74.0333
562,Fish ago discussion.,Jamie,Manhattan,Shared room,10.0,2,392,3.14,48,40.7395,-74.0831
563,Point society strategy whether network.,Frances,Queens,Private room,126.0,30,350,4.0,138,40.7742,-73.8747
564,Certainly clear week prepare.,Jerry,Manhattan,Shared room,10.0,7,180,4.12,6,40.5548,-74.0374
565,Charge middle face dark firm.,Travis,Bronx,Private room,66.0,3,83,0.51,79,40.7014,-73.8174
566,Determine career speak thank.,Timothy,Staten Island,Shared room,10.0,14,269,4.23,364,40.7204,-73.8475
567,Speech several.,John,Manhattan,Private room,28.0,5,39,0.58,67,40.8694,-73.9582
568,Girl deal.,Garrett,Queens,Shared room,86.0,3,71,4.09,305,40.7092,-73.762
569,Tend Congress cold.,Cory,Brooklyn,Shared room,21.0,3,14,3.72,60,40.5889,-73.8073
570,Maybe official exist.,Donald,Brooklyn,Shared room,54.0,2,157,0.63,66,40.8924,-73.9801
571,National bring.,Laura,Manhattan,Entire home/apt,148.0,1,396,2.42,220,40.517,-74.1069
572,Order blue cup.,Katherine,Staten Island,Shared room,59.0,1,240,0.59,129,40.5173,-74.0293
573,Price former we.,Kendra,Manhattan,Entire home/apt,153.0,30,63,4.6,105,40.735,-74.07
574,Fall me six.,Melissa,Queens,Entire home/apt,99.0,1,74,4.23,142,40.8795,-74.0109
575,Race offer north foreign.,William,Brooklyn,Shared room,80.0,30,373,3.06,258,40.7281,-74.1104
576,Skill realize loss visit.,David,Staten Island,Entire home/apt,130.0,7,111,3.58,144,40.5687,-73.8484
577,Big value front increase study.,Sabrina,Manhattan,Shared room,10.0,1,109,4.6,362,40.6899,-73.8707
578,Many social move seven.,Jamie,Brooklyn,Private room,63.0,14,54,0.9,181,40.8925,-73.9804
579,Along which morning street along.,Wendy,Staten Island,Entire home/apt,210.0,5,57,3.81,160,40.5494,-74.1059
580,Debate point produce most.,Lauren,Brooklyn,Private room,114.0,30,184,3.52,285,40.7889,-74.1171
581,Paper point quality.,Jason,Bronx,Entire home/apt,136.0,5,145,2.28,159,40.7748,-73.8136
582,Fine pull full.,David,Brooklyn,Shared room,26.0,5,148,4.92,219,40.5755,-74.1222
583,You perform yes.,Kenneth,Bronx,Shared room,27.0,3,91,0.06,345,40.6967,-74.1079
584,Pay another agent.,Jose,Bronx,Shared room,123.0,14,346,0.43,73,40.6579,-73.872
585,Result rich.,Vicki,Manhattan,Shared room,55.0,2,33,1.82,101,40.6355,-73.912
586,Culture hour unit.,William,Bronx,Entire home/apt,167.0,2,217,3.63,142,40.8059,-73.8436
587,Under though today give look.,Edward,Staten Island,Private room,121.0,30,329,4.72,182,40.6903,-73.9087
588,Husband hold assume large him.,Melinda,Bronx,Private room,90.0,7,142,0.74,232,40.5432,-74.0497
589,Soldier hope toward one many.,Victoria,Bronx,Entire home/apt,140.0,14,68,0.15,27,40.8321,-73.9507
590,Say community fight edge.,Victoria,Manhattan,Entire home/apt,142.0,5,309,3.4,78,40.6211,-73.9007
591,Over end tend risk later.,Barbara,Manhattan,Shared room,37.0,30,266,3.84,238,40.5808,-73.8852
592,Full understand teacher.,Crystal,Bronx,Shared room,39.0,3,277,1.72,276,40.7186,-73.769
593,Bag great.,Emily,Manhattan,Private room,109.0,1,196,2.25,192,40.677,-74.1356
594,Guy white adult.,Samantha,Brooklyn,Shared room,42.0,14,399,1.52,361,40.5657,-73.9777
595,Consider research.,Bradley,Queens,Shared room,69.0,5,249,3.82,291,40.77,-73.886
596,Politics drive travel image water.,Margaret,Staten Island,Shared room,37.0,5,243,2.81,80,40.7027,-73.9934
597,Management short.,Natalie,Bronx,Shared room,43.0,5,315,3.38,145,40.6282,-74.1387
598,Everybody enter condition.,Kathleen,Manhattan,Entire home/apt,70.0,30,187,1.74,298,40.5108,-73.7935
599,Room glass deep statement.,Michael,Queens,Private room,117.0,1,219,1.73,182,40.6648,-74.1274
600,Eat turn eight describe.,Cody,Brooklyn,Entire home/apt,164.0,2,331,1.56,43,40.8642,-74.1238
601,Identify newspaper stage rest hit.,Sharon,Queens,Entire home/apt,190.0,3,86,0.1,166,40.515,-73.8869
602,Make us add customer tell.,Clayton,Bronx,Shared room,10.0,7,215,1.33,356,40.6879,-74.1411
603,Interest health interview.,Christopher,Queens,Private room,164.0,7,199,1.61,50,40.8233,-74.11
604,Attack discover stage movement.,Jose,Brooklyn,Private room,74.0,5,257,4.06,341,40.6358,-73.9041
605,Deal tonight idea ground.,Judy,Queens,Private room,124.0,2,254,3.18,38,40.8362,-73.9357
606,Though put value region detail.,Felicia,Queens,Private room,38.0,1,152,4.98,205,40.8218,-73.9002
607,Occur key.,Diane,Manhattan,Shared room,65.0,30,296,0.47,172,40.6093,-73.9234
608,Building pretty list.,Guy,Staten Island,Private room,38.0,5,107,1.74,39,40.7606,-74.0293
609,Seek too road will.,Cassandra,Queens,Private room,55.0,14,276,1.57,212,40.6609,-73.9
610,Yes fund movie central performance.,Linda,Bronx,Shared room,117.0,30,280,0.9,9,40.7511,-73.9435
611,Beat war.,Stephanie,Brooklyn,Shared room,32.0,5,109,3.3,239,40.6072,-73.8948
612,Data performance support.,Samuel,Staten Island,Private room,89.0,7,372,3.13,267,40.5803,-73.965
613,Fish walk.,Patrick,Brooklyn,Entire home/apt,185.0,14,350,3.83,222,40.6641,-73.8059
614,Listen decide.,Guy,Manhattan,Shared room,60.0,2,211,1.33,146,40.7584,-74.0474
615,Likely hour feel.,Cynthia,Staten Island,Entire home/apt,156.0,5,122,0.57,98,40.5111,-73.8312
616,Series continue.,Linda,Queens,Private room,95.0,5,286,4.96,216,40.7588,-74.1352
617,Away itself.,Teresa,Brooklyn,Private room,176.0,2,14,1.29,142,40.7635,-74.0796
618,Third read.,Zachary,Manhattan,Shared room,38.0,5,400,0.1,42,40.6256,-74.0308
619,Hair official Congress.,Nicholas,Manhattan,Private room,88.0,3,343,3.29,46,40.6588,-73.8141
620,Month able maintain direction.,Pamela,Brooklyn,Entire home/apt,192.0,1,292,3.67,61,40.7088,-73.8184
621,Computer soldier.,Nicholas,Staten Island,Private room,124.0,5,46,1.19,62,40.8093,-74.0246
622,Fill result kind.,Linda,Staten Island,Shared room,87.0,5,383,3.72,216,40.5872,-74.1073
623,Thing financial do.,Elizabeth,Brooklyn,Private room,106.0,5,209,1.27,301,40.5224,-73.9366
624,Spend both step I.,Christine,Manhattan,Private room,34.0,7,216,2.37,126,40.8853,-73.7982
625,Candidate even much send TV.,Frederick,Brooklyn,Private room,145.0,5,366,1.84,157,40.5084,-73.7633
626,Defense realize another.,Amanda,Staten Island,Entire home/apt,104.0,30,378,3.31,27,40.7763,-73.8345
627,Thing decade rest kid.,Sean,Brooklyn,Private room,92.0,7,196,1.55,358,40.6451,-73.8251
628,Around meet.,Kari,Manhattan,Shared room,10.0,30,121,4.29,198,40.5031,-73.7657
629,Admit city out.,Daniel,Queens,Private room,77.0,1,387,1.18,107,40.8438,-74.0859
630,Sit record event fall.,Austin,Bronx,Shared room,53.0,3,392,3.22,17,40.6096,-74.118
631,Within position daughter size almost.,Julie,Bronx,Private room,93.0,14,211,4.63,170,40.787,-73.7993
632,Once itself word worry.,Melissa,Manhattan,Entire home/apt,167.0,14,133,2.53,180,40.6683,-73.8583
633,Million increase few along support.,Lee,Staten Island,Shared room,105.0,3,232,3.48,26,40.7565,-74.0765
634,Good yard.,Patricia,Bronx,Shared room,58.0,2,1,2.0,321,40.6222,-73.9197
635,Truth to any some.,Cassidy,Manhattan,Entire home/apt,140.0,2,264,3.57,332,40.8053,-73.8112
636,Star allow pull.,Amanda,Bronx,Private room,119.0,5,244,4.37,68,40.6043,-73.875
637,Yourself discuss threat sure.,Richard,Queens,Private room,128.0,2,43,2.07,93,40.6574,-73.9991
638,Political rest culture similar.,Madison,Staten Island,Entire home/apt,101.0,1,11,4.62,331,40.7448,-74.0585
639,Shake whether notice on system.,Jessica,Manhattan,Private room,104.0,2,134,3.51,86,40.5199,-73.9028
640,Second eight smile.,Barbara,Staten Island,Private room,108.0,2,45,4.79,87,40.8789,-74.1031
641,Soldier technology could forward.,Amanda,Staten Island,Private room,68.0,30,232,4.14,253,40.5474,-73.8646
642,Win whom near game maintain.,Dylan,Brooklyn,Private room,135.0,3,382,2.47,66,40.6725,-74.0674
643,Worker drug tough.,Carl,Brooklyn,Private room,74.0,14,346,0.95,92,40.6634,-74.0916
644,Back kitchen.,Jimmy,Queens,Private room,85.0,2,316,2.25,127,40.6479,-73.8763
645,We skill mother opportunity.,Yolanda,Bronx,Entire home/apt,143.0,1,240,0.67,165,40.8898,-73.991
646,School walk chair.,Christopher,Brooklyn,Shared room,41.0,5,362,2.12,305,40.6025,-74.1119
647,Act fact collection east bed.,Thomas,Manhattan,Entire home/apt,106.0,3,120,2.35,181,40.8987,-73.7743
648,Ahead bill especially least.,Sara,Staten Island,Shared room,10.0,14,23,0.03,258,40.7479,-74.029
649,Old gas.,Carolyn,Bronx,Shared room,104.0,3,67,4.84,286,40.5164,-74.0783
650,Prevent research answer pattern sport.,Robert,Brooklyn,Shared room,10.0,5,173,4.39,67,40.5359,-73.8659
651,Sort spring more everything.,Jennifer,Bronx,Entire home/apt,110.0,3,59,1.57,65,40.6997,-73.7607
652,Day participant animal sense.,Kelsey,Queens,Shared room,10.0,3,220,1.41,134,40.7452,-73.8454
653,Rise practice drive explain.,Brenda,Queens,Shared room,14.0,3,223,4.46,161,40.7947,-73.9535
654,Case run.,Dennis,Brooklyn,Shared room,10.0,30,336,3.18,225,40.5213,-74.0906
655,Dog environment well anything.,Amanda,Brooklyn,Entire home/apt,216.0,1,240,1.3,361,40.6869,-74.1036
656,Outside each.,Erica,Bronx,Entire home/apt,190.0,5,182,4.94,287,40.6941,-73.9528
657,With leg someone late.,Frank,Brooklyn,Entire home/apt,122.0,3,47,1.02,145,40.5723,-74.0827
658,Design risk foreign.,Lawrence,Staten Island,Private room,170.0,7,339,2.93,298,40.8992,-74.1483
659,Best above side.,Devin,Staten Island,Entire home/apt,189.0,5,39,1.23,255,40.7708,-73.7951
660,It idea prevent.,Sarah,Manhattan,Private room,67.0,14,348,0.61,191,40.7361,-73.7695
661,Discussion reason listen full arrive.,Richard,Queens,Entire home/apt,50.0,1,41,2.3,362,40.7638,-73.9684
662,Successful very.,Julia,Queens,Shared room,132.0,14,2,1.65,22,40.7625,-73.7696
663,Ready home western.,Michelle,Queens,Shared room,10.0,14,291,0.65,24,40.8206,-74.0368
664,Between choose physical.,Gary,Manhattan,Shared room,10.0,1,280,4.76,195,40.537,-74.0479
665,Similar their property join.,Ashley,Brooklyn,Private room,121.0,1,10,4.26,83,40.6554,-73.989
666,Student every every.,Benjamin,Brooklyn,Entire home/apt,248.0,3,251,4.01,158,40.8615,-73.9086
667,No base organization you.,George,Queens,Shared room,95.0,1,188,2.56,250,40.6782,-73.9948
668,Provide own like.,Joshua,Queens,Shared room,63.0,7,216,0.45,216,40.8244,-73.9045
669,How fight ask issue.,Darlene,Bronx,Shared room,64.0,5,47,0.2,174,40.8893,-73.8794
670,Growth song enough.,Bryan,Brooklyn,Private room,114.0,7,322,3.24,42,40.6163,-73.9751
671,Series to score stuff stop.,Gina,Bronx,Private room,110.0,2,65,3.42,153,40.8366,-73.9408
672,Business evidence total push four.,Joshua,Queens,Shared room,51.0,1,282,0.38,23,40.7054,-73.9457
673,Person our above seat.,Lisa,Bronx,Entire home/apt,154.0,5,338,3.6,129,40.6422,-73.9158
674,Water beat carry year.,Diane,Staten Island,Entire home/apt,147.0,1,379,3.31,91,40.8145,-73.8128
675,Defense deal traditional theory.,Justin,Manhattan,Entire home/apt,120.0,5,360,1.49,300,40.7896,-73.8471
676,Again rich film sort win.,Sarah,Bronx,Shared room,29.0,30,135,1.71,95,40.5844,-74.1187
677,Discussion long environment.,Heather,Staten Island,Private room,12.0,30,344,0.53,273,40.5072,-73.992
678,Inside economic new.,Tina,Manhattan,Entire home/apt,146.0,14,244,2.3,207,40.8475,-73.7637
679,Prove recognize.,Randy,Staten Island,Shared room,10.0,5,155,3.09,315,40.6443,-73.8805
680,Success perform better along.,Renee,Bronx,Private room,36.0,1,64,0.68,97,40.5448,-74.1436
681,Usually show address star nor.,Robert,Brooklyn,Entire home/apt,157.0,2,246,3.24,332,40.5967,-73.8132
682,Task kid truth maintain.,Blake,Staten Island,Entire home/apt,206.0,1,154,3.85,75,40.6896,-74.1413
683,Rock act.,Ryan,Brooklyn,Entire home/apt,187.0,14,359,2.23,248,40.6886,-73.8061
684,Value political pay.,Chase,Staten Island,Entire home/apt,87.0,2,150,2.85,200,40.5204,-74.1469
685,Conference to carry rich.,David,Bronx,Private room,40.0,30,253,3.69,305,40.7924,-73.7504
686,Behavior outside consumer.,Emily,Manhattan,Private room,118.0,5,248,2.57,313,40.8741,-73.788
687,Democrat decision.,Tracy,Bronx,Entire home/apt,111.0,14,31,2.64,216,40.7306,-73.9287
688,Program black agent mention heavy.,Wesley,Queens,Shared room,31.0,5,242,0.58,318,40.8756,-74.0113
689,Determine food final never.,William,Bronx,Entire home/apt,172.0,2,147,3.63,240,40.6375,-74.0572
690,Protect financial.,Zachary,Brooklyn,Shared room,10.0,14,173,4.61,336,40.6874,-73.7967
691,Officer Mr.,Ryan,Bronx,Private room,84.0,30,344,3.26,184,40.8184,-73.8301
692,Then act peace.,Denise,Brooklyn,Shared room,10.0,2,144,3.45,44,40.7668,-74.0984
693,Account learn happen.,Rebecca,Brooklyn,Entire home/apt,126.0,7,251,0.5,212,40.8772,-73.9525
694,Second concern.,Derrick,Brooklyn,Entire home/apt,163.0,7,24,5.0,183,40.8524,-74.0072
695,Long letter.,Michael,Brooklyn,Entire home/apt,86.0,30,257,0.16,32,40.6351,-74.1044
696,They leg trouble yard.,Latasha,Brooklyn,Entire home/apt,168.0,7,114,2.43,174,40.814,-73.8423
697,Determine space loss.,Anthony,Staten Island,Private room,79.0,2,353,4.37,309,40.7678,-73.8674
698,Professional threat best certain.,Lisa,Bronx,Private room,102.0,30,386,0.55,54,40.8127,-73.9061
699,Social discuss worry name.,Christina,Manhattan,Shared room,49.0,1,259,0.53,322,40.5472,-74.0678
700,Movie understand under.,Christopher,Queens,Entire home/apt,205.0,14,149,3.54,259,40.6994,-73.8018
701,Smile owner onto.,Brandon,Brooklyn,Shared room,45.0,3,171,4.1,62,40.8394,-73.9744
702,Rate man use experience high.,Robert,Bronx,Entire home/apt,133.0,2,242,1.71,258,40.5685,-74.0436
703,Agency cup window room conference.,Brittany,Bronx,Private room,85.0,14,340,1.23,271,40.6687,-74.0587
704,Style crime see.,Jessica,Bronx,Private room,102.0,5,234,4.76,264,40.8178,-74.0053
705,Behind total.,Charles,Manhattan,Private room,82.0,2,394,0.05,264,40.8775,-74.1161
706,Other for become everybody.,Kerri,Queens,Private room,82.0,30,84,2.17,201,40.8037,-73.8859
707,Author will mouth.,Brian,Brooklyn,Shared room,12.0,1,323,4.9,338,40.8503,-73.7609
708,Tough challenge happy four.,James,Bronx,Private room,53.0,14,358,2.77,155,40.7886,-74.0245
709,Serious assume course outside.,Crystal,Queens,Entire home/apt,94.0,30,143,4.5,312,40.8682,-73.8699
710,Type debate such service.,Tiffany,Bronx,Shared room,110.0,2,278,3.12,316,40.7608,-73.871
711,Usually say field network.,Ashley,Bronx,Entire home/apt,100.0,3,43,0.18,171,40.656,-73.8624
712,Above free fight whole win.,Tammy,Brooklyn,Shared room,12.0,7,145,1.07,261,40.7207,-73.9415
713,Structure occur six.,Elizabeth,Brooklyn,Entire home/apt,121.0,1,276,2.96,123,40.8329,-74.0284
714,Culture small against.,Mitchell,Bronx,Shared room,76.0,1,374,0.3,190,40.6039,-73.947
715,Heavy contain.,Elizabeth,Manhattan,Entire home/apt,138.0,30,333,4.71,229,40.6192,-73.8553
716,Common blood general create.,Emily,Bronx,Private room,130.0,2,381,4.95,289,40.7859,-73.775
717,Rock base mention.,Taylor,Staten Island,Shared room,13.0,2,179,1.5,341,40.8139,-73.8641
718,Time similar agree recognize already.,Jonathan,Brooklyn,Shared room,51.0,5,266,3.69,53,40.6311,-73.9171
719,Wife successful hand when treatment.,Jocelyn,Queens,Private room,47.0,1,75,3.56,210,40.5328,-74.1251
720,Hour light save.,Julia,Brooklyn,Private room,166.0,2,228,0.39,346,40.7105,-73.9147
721,Nearly charge.,Ryan,Staten Island,Private room,32.0,30,135,2.92,325,40.6694,-73.974
722,Bag make finish.,Morgan,Bronx,Shared room,52.0,5,83,0.72,65,40.6939,-73.9669
723,Only decision once also yourself.,Aaron,Staten Island,Shared room,65.0,1,355,1.06,242,40.513,-74.0873
724,Involve brother computer Mr.,Jennifer,Staten Island,Private room,97.0,1,308,4.26,56,40.5483,-73.9213
725,Tree commercial but Mr identify.,Kathleen,Manhattan,Shared room,33.0,2,60,1.86,191,40.6213,-73.9556
726,Law his.,Lisa,Brooklyn,Entire home/apt,145.0,30,301,2.11,156,40.8556,-74.0638
727,Item local source.,Jon,Bronx,Entire home/apt,152.0,1,280,1.74,22,40.667,-73.9208
728,Course market push.,Meghan,Staten Island,Private room,74.0,3,400,1.89,310,40.5531,-74.0946
729,Technology official in.,Joanne,Bronx,Private room,119.0,14,229,0.74,166,40.5357,-73.9001
730,Throw half first particular.,Beverly,Staten Island,Private room,168.0,5,119,4.5,173,40.7164,-73.7668
731,Where popular move message.,Stephen,Bronx,Shared room,18.0,3,330,0.44,84,40.7829,-73.9212
732,Lot high chance road.,Timothy,Queens,Shared room,10.0,14,63,3.22,43,40.577,-73.9025
733,Future popular hospital need.,Joel,Staten Island,Entire home/apt,146.0,7,267,0.95,243,40.7011,-74.1425
734,Great office mouth.,James,Staten Island,Entire home/apt,253.0,1,140,3.93,125,40.8319,-73.8144
735,Often right state least month.,Austin,Staten Island,Private room,48.0,1,273,3.03,205,40.7356,-73.9534
736,Mrs fire ok administration enter.,Gail,Manhattan,Private room,146.0,5,92,2.07,270,40.627,-74.0471
737,No when.,Vanessa,Manhattan,Entire home/apt,217.0,7,86,1.43,93,40.6022,-74.1141
738,Red like money.,John,Queens,Private room,58.0,14,86,0.29,166,40.5726,-73.8647
739,Experience take argue recently such.,Michele,Queens,Private room,103.0,1,163,0.71,165,40.6032,-73.7734
740,Dinner hundred green.,Ryan,Manhattan,Entire home/apt,215.0,2,122,3.76,300,40.5946,-73.9466
741,Threat yourself black.,Jamie,Staten Island,Private room,65.0,1,137,0.3,237,40.7212,-74.1238
742,Skill partner campaign check.,Tina,Manhattan,Private room,72.0,14,119,4.57,9,40.6077,-73.7646
743,Identify poor tend.,Christina,Manhattan,Entire home/apt,127.0,30,284,3.26,64,40.6218,-73.9873
744,That value.,Timothy,Manhattan,Shared room,10.0,7,104,3.91,72,40.6493,-73.7559
745,Process hospital pull.,Veronica,Brooklyn,Shared room,14.0,5,284,2.26,0,40.8251,-73.7656
746,Necessary include arm.,Dawn,Staten Island,Private room,31.0,14,85,0.0,246,40.6093,-74.0496
747,Film wind fast.,Matthew,Bronx,Private room,81.0,30,323,1.06,261,40.6125,-74.0854
748,Drive work me adult.,Jonathan,Staten Island,Shared room,10.0,1,153,0.45,357,40.5492,-74.0941
749,Leg member answer huge.,Dylan,Staten Island,Private room,89.0,5,107,3.05,162,40.8536,-73.7718
750,Pass entire news such can.,Christine,Queens,Shared room,10.0,5,139,1.23,164,40.6367,-73.9661
751,Mean son they.,Tiffany,Staten Island,Private room,93.0,1,354,0.67,1,40.7435,-74.1483
752,Person discuss.,Peter,Manhattan,Shared room,73.0,2,211,2.78,356,40.7813,-73.845
753,Want once country.,Cody,Staten Island,Entire home/apt,70.0,30,332,3.26,275,40.5124,-73.8172
754,After color.,John,Bronx,Shared room,55.0,1,180,4.86,192,40.831,-74.0068
755,Have budget security.,Rebecca,Brooklyn,Shared room,89.0,1,63,2.31,98,40.6778,-74.0614
756,Account course begin.,Rachel,Manhattan,Private room,32.0,14,363,1.79,46,40.8265,-73.8999
757,Local central.,Edgar,Brooklyn,Entire home/apt,217.0,5,185,0.18,252,40.8618,-73.8672
758,Either tough civil play.,John,Brooklyn,Entire home/apt,167.0,2,326,1.98,142,40.7276,-73.9524
759,Require day take.,Lisa,Staten Island,Entire home/apt,122.0,14,378,2.83,349,40.7412,-74.0798
760,Site impact recent daughter.,Christian,Staten Island,Entire home/apt,148.0,14,33,0.64,291,40.8422,-73.7976
761,Evidence glass either.,James,Queens,Entire home/apt,172.0,30,347,0.12,354,40.7711,-73.9042
762,Future prove strategy.,Emily,Staten Island,Private room,83.0,1,218,3.2,332,40.5207,-73.7745
763,Establish while price since.,Heather,Bronx,Private room,102.0,3,62,3.4,238,40.6982,-73.9431
764,Stuff only page story set.,Katherine,Manhattan,Shared room,10.0,2,24,1.39,215,40.713,-74.0235
765,Know news set.,Kevin,Bronx,Entire home/apt,157.0,3,41,4.4,12,40.8961,-74.0597
766,Raise early size.,Ariana,Bronx,Entire home/apt,93.0,2,100,0.82,159,40.5251,-73.8999
767,Rise stuff really risk.,Sherry,Manhattan,Private room,76.0,5,12,2.96,320,40.874,-73.8138
768,Scene affect stage.,Christopher,Brooklyn,Entire home/apt,114.0,5,122,4.79,27,40.8287,-73.9421
769,Rich serve head fact positive.,Karen,Brooklyn,Entire home/apt,121.0,30,307,3.1,48,40.7501,-73.9184
770,Box good site article let.,Diane,Manhattan,Entire home/apt,199.0,1,193,1.57,355,40.526,-74.099
771,Become interest people staff they.,Jared,Bronx,Entire home/apt,194.0,3,312,3.13,33,40.5407,-74.1277
772,None financial fear push.,Isabel,Manhattan,Private room,104.0,30,195,2.01,316,40.8008,-74.0568
773,Face man level action.,John,Staten Island,Shared room,10.0,7,5,2.27,237,40.8181,-73.798
774,Customer look no.,Barbara,Staten Island,Entire home/apt,137.0,3,333,4.69,13,40.6816,-74.0187
775,Live century trial try.,Lisa,Brooklyn,Entire home/apt,199.0,1,6,2.98,34,40.7372,-73.8137
776,Trouble space behavior whose.,Daniel,Staten Island,Entire home/apt,156.0,14,260,1.28,215,40.6926,-73.9017
777,Town seven above specific.,David,Brooklyn,Entire home/apt,243.0,2,22,0.3,159,40.7338,-73.9447
778,Around make.,Kristina,Queens,Private room,96.0,7,277,3.88,75,40.6878,-73.9087
779,Rate music.,Eric,Queens,Private room,88.0,1,265,2.93,347,40.5578,-74.055
780,Than whole follow.,Elizabeth,Staten Island,Entire home/apt,138.0,5,176,0.98,102,40.7562,-74.0695
781,Game sister.,David,Manhattan,Private room,85.0,2,341,2.38,354,40.8928,-73.9101
782,Democrat even clear policy.,Seth,Queens,Shared room,34.0,7,171,3.08,214,40.6314,-74.1081
783,Point customer brother.,David,Manhattan,Private room,108.0,2,1,3.19,354,40.5921,-73.9004
784,Thing station those poor.,Tracy,Brooklyn,Private room,118.0,14,393,4.76,169,40.8229,-73.9996
785,Affect suddenly happen care decision.,Jessica,Bronx,Entire home/apt,119.0,30,3,1.81,37,40.6432,-73.9281
786,Hospital world someone.,Adam,Brooklyn,Private room,27.0,5,99,3.16,184,40.5176,-74.1381
787,Expect five rich trade.,Lee,Brooklyn,Private room,10.0,2,112,4.43,89,40.6359,-73.9282
788,Attorney choice.,Patricia,Brooklyn,Entire home/apt,170.0,1,90,4.21,51,40.5084,-73.879
789,Also forward simple beat.,Jesus,Bronx,Shared room,10.0,30,56,1.69,107,40.622,-74.0539
790,Kind old if.,Barry,Queens,Shared room,10.0,2,269,4.89,319,40.8527,-73.7986
791,Store usually rate figure piece.,Rebecca,Manhattan,Entire home/apt,166.0,2,66,3.97,98,40.713,-73.8723
792,Evening contain my.,Lee,Queens,Shared room,140.0,5,325,1.22,23,40.8052,-73.9151
793,Seven too thousand.,James,Staten Island,Private room,80.0,30,76,1.64,27,40.7518,-74.038
794,Something report own.,Brandon,Brooklyn,Shared room,74.0,7,250,1.05,41,40.8139,-73.8336
795,Service former modern society sure.,Monica,Staten Island,Entire home/apt,153.0,2,260,1.94,330,40.8005,-74.0003
796,Amount know early.,Adam,Staten Island,Private room,76.0,2,164,3.56,269,40.7778,-73.8637
797,Leg use.,Jeremy,Bronx,Private room,117.0,3,297,2.0,298,40.7599,-74.0671
798,Hair effect still.,Joshua,Brooklyn,Private room,68.0,30,120,1.98,156,40.67,-73.9992
799,Professional hope forget firm.,Shannon,Brooklyn,Private room,91.0,3,281,0.42,43,40.618,-73.9425
800,Year worker future population.,Maria,Brooklyn,Shared room,53.0,1,238,2.56,172,40.6704,-73.963
